Pity,Probability,Inner Distribution,Outer Distribution
1,0.29240,0.29240,99.70760
2,0.29710,0.58950,99.41050
3,0.30650,0.89600,99.10400
4,0.29670,1.19270,98.80730
5,0.30620,1.49890,98.50110
6,0.29480,1.79370,98.20630
7,0.29940,2.09310,97.90690
8,0.29560,2.38870,97.61130
9,0.29280,2.68150,97.31850
10,0.30120,2.98270,97.01730
11,0.29850,3.28120,96.71880
12,0.29820,3.57940,96.42060
13,0.30050,3.87990,96.12010
14,0.30990,4.18980,95.81020
15,0.29130,4.48110,95.51890
16,0.29950,4.78060,95.21940
17,0.29680,5.07740,94.92260
18,0.29900,5.37640,94.62360
19,0.30360,5.68000,94.32000
20,0.30320,5.98320,94.01680
21,0.29420,6.27740,93.72260
22,0.30310,6.58050,93.41950
23,0.29950,6.88000,93.12000
24,0.29930,7.17930,92.82070
25,0.29890,7.47820,92.52180
26,0.29990,7.77810,92.22190
27,0.29470,8.07280,91.92720
28,0.29220,8.36500,91.63500
29,0.29120,8.65620,91.34380
30,0.28700,8.94320,91.05680
31,0.29830,9.24150,90.75850
32,0.30090,9.54240,90.45760
33,0.29710,9.83950,90.16050
34,0.30100,10.14050,89.85950
35,0.30560,10.44610,89.55390
36,0.29290,10.73900,89.26100
37,0.29660,11.03560,88.96440
38,0.28720,11.32280,88.67720
39,0.29910,11.62190,88.37810
40,0.29500,11.91690,88.08310
41,0.29340,12.21030,87.78970
42,0.29550,12.50580,87.49420
43,0.28900,12.79480,87.20520
44,0.29160,13.08640,86.91360
45,0.29680,13.38320,86.61680
46,0.29890,13.68210,86.31790
47,0.29530,13.97740,86.02260
48,0.29270,14.27010,85.72990
49,0.28590,14.55600,85.44400
50,0.28510,14.84110,85.15890
51,0.28420,15.12530,84.87470
52,0.28900,15.41430,84.58570
53,0.28620,15.70050,84.29950
54,0.28490,15.98540,84.01460
55,0.28220,16.26760,83.73240
56,0.28600,16.55360,83.44640
57,0.28140,16.83500,83.16500
58,0.28280,17.11780,82.88220
59,0.28550,17.40330,82.59670
60,0.28450,17.68780,82.31220
61,0.27800,17.96580,82.03420
62,0.28560,18.25140,81.74860
63,0.28880,18.54020,81.45980
64,0.27960,18.81980,81.18020
65,0.28750,19.10730,80.89270
66,0.28320,19.39050,80.60950
67,0.27840,19.66890,80.33110
68,0.27810,19.94700,80.05300
69,0.28230,20.22930,79.77070
70,0.28640,20.51570,79.48430
71,0.27490,20.79060,79.20940
72,0.28050,21.07110,78.92890
73,0.28110,21.35220,78.64780
74,2.20850,23.56070,76.43930
75,3.90780,27.46850,72.53150
76,5.04500,32.51350,67.48650
77,5.45190,37.96540,62.03460
78,5.24360,43.20900,56.79100
79,4.41640,47.62540,52.37460
80,3.38550,51.01090,48.98910
81,2.40420,53.41510,46.58490
82,1.55650,54.97160,45.02840
83,1.01180,55.98340,44.01660
84,0.68820,56.67160,43.32840
85,0.52990,57.20150,42.79850
86,0.46090,57.66240,42.33760
87,0.43410,58.09650,41.90350
88,0.43680,58.53330,41.46670
89,0.41610,58.94940,41.05060
90,0.43380,59.38320,40.61680
91,0.42450,59.80770,40.19230
92,0.41290,60.22060,39.77940
93,0.40630,60.62690,39.37310
94,0.41530,61.04220,38.95780
95,0.39840,61.44060,38.55940
96,0.38730,61.82790,38.17210
97,0.39790,62.22580,37.77420
98,0.39210,62.61790,37.38210
99,0.38450,63.00240,36.99760
100,0.40070,63.40310,36.59690
101,0.37500,63.77810,36.22190
102,0.37660,64.15470,35.84530
103,0.37920,64.53390,35.46610
104,0.37120,64.90510,35.09490
105,0.36720,65.27230,34.72770
106,0.37620,65.64850,34.35150
107,0.36640,66.01490,33.98510
108,0.36450,66.37940,33.62060
109,0.34030,66.71970,33.28030
110,0.35180,67.07150,32.92850
111,0.35860,67.43010,32.56990
112,0.35780,67.78790,32.21210
113,0.33400,68.12190,31.87810
114,0.34180,68.46370,31.53630
115,0.34730,68.81100,31.18900
116,0.35170,69.16270,30.83730
117,0.33780,69.50050,30.49950
118,0.33310,69.83360,30.16640
119,0.32390,70.15750,29.84250
120,0.33060,70.48810,29.51190
121,0.32170,70.80980,29.19020
122,0.33290,71.14270,28.85730
123,0.31010,71.45280,28.54720
124,0.31590,71.76870,28.23130
125,0.31510,72.08380,27.91620
126,0.30380,72.38760,27.61240
127,0.31240,72.70000,27.30000
128,0.30520,73.00520,26.99480
129,0.30690,73.31210,26.68790
130,0.30070,73.61280,26.38720
131,0.29060,73.90340,26.09660
132,0.29410,74.19750,25.80250
133,0.28740,74.48490,25.51510
134,0.28960,74.77450,25.22550
135,0.27670,75.05120,24.94880
136,0.28370,75.33490,24.66510
137,0.29090,75.62580,24.37420
138,0.28230,75.90810,24.09190
139,0.27990,76.18800,23.81200
140,0.27370,76.46170,23.53830
141,0.27030,76.73200,23.26800
142,0.26370,76.99570,23.00430
143,0.26430,77.26000,22.74000
144,0.25950,77.51950,22.48050
145,0.25730,77.77680,22.22320
146,0.26030,78.03710,21.96290
147,0.26680,78.30390,21.69610
148,0.32820,78.63210,21.36790
149,0.53840,79.17050,20.82950
150,0.85940,80.02990,19.97010
151,1.30360,81.33350,18.66650
152,1.78720,83.12070,16.87930
153,2.18080,85.30150,14.69850
154,2.44210,87.74360,12.25640
155,2.46330,90.20690,9.79310
156,2.38260,92.58950,7.41050
157,2.05240,94.64190,5.35810
158,1.67740,96.31930,3.68070
159,1.30060,97.61990,2.38010
160,0.91410,98.53400,1.46600
161,0.60540,99.13940,0.86060
162,0.38920,99.52860,0.47140
163,0.23570,99.76430,0.23570
164,0.12360,99.88790,0.11210
165,0.06090,99.94880,0.05120
166,0.02850,99.97730,0.02270
167,0.01350,99.99080,0.00920
168,0.00610,99.99690,0.00310
169,0.00220,99.99910,0.00090
170,0.00090,100.00000,0.00000
171,0.00000,100.00000,0.00000
172,0.00000,100.00000,0.00000
173,0.00000,100.00000,0.00000
174,0.00000,100.00000,0.00000
175,0.00000,100.00000,0.00000
176,0.00000,100.00000,0.00000
177,0.00000,100.00000,0.00000
178,0.00000,100.00000,0.00000
179,0.00000,100.00000,0.00000
180,0.00000,100.00000,0.00000
